,title,author,url,category,id
80,Little Known Facts about the Amish and the Mennonites,"A. Monroe Aurand, Jr.",https://sacred-texts.com/ame/amish/index.htm,Americana,amish
81,Coffee in the Gourd,J. Frank Dobie,https://sacred-texts.com/ame/cig/index.htm,Americana,cig
82,Myths and Legends of Babylonia and Assyria,Donald A. Mackenzie,https://sacred-texts.com/ane/mba/index.htm,Ancient Near East,mba
83,The Religion Of Babylonia And Assyria,Theophilus G. Pinches,https://sacred-texts.com/ane/rbaa.htm,Ancient Near East,
84,Legends of Babylonia and Egypt,Leonard W. King,https://sacred-texts.com/ane/beheb.htm,Ancient Near East,
85,Sumerian Mythology,Samuel Noah Kramer,https://sacred-texts.com/ane/sum/index.htm,Ancient Near East,sum
86,"The Philistines, Their History and Civilization",Robert Alexander Stewart Macalister,https://sacred-texts.com/ane/phc/index.htm,Ancient Near East,phc
87,Records of the Past,none provided,https://sacred-texts.com/ane/rp/index.htm,Ancient Near East,rp
88,The Seven Tablets of Creation,L.W. King,https://sacred-texts.com/ane/stc/index.htm,Ancient Near East,stc
89,The Enuma Elish (The Epic of Creation),L. W. King,https://sacred-texts.com/ane/enuma.htm,Ancient Near East,
90,The Seven Evil Spirits,R. C. Thompson,https://sacred-texts.com/ane/seven.htm,Ancient Near East,
91,The Code of Hammurabi,L.W. King,https://sacred-texts.com/ane/ham/index.htm,Ancient Near East,ham
92,The Syrian Goddess,Herbert A. Strong,https://sacred-texts.com/cla/luc/tsg/index.htm,Ancient Near East,luc/tsg
93,The Babylonian Legends of Creation,E. A. Wallis Budge,https://sacred-texts.com/ane/blc/index.htm,Ancient Near East,blc
94,The Epic of Gilgamish,R. Campbell Thompson,https://sacred-texts.com/ane/eog/index.htm,Ancient Near East,eog
95,The Chaldean Account of the Deluge,George Smith,https://sacred-texts.com/ane/chad/index.htm,Ancient Near East,chad
96,The Chaldean Account of Genesis,George Smith,https://sacred-texts.com/ane/caog/index.htm,Ancient Near East,caog
97,Ishtar and Izdubar {Gilgamesh},Leonidas Le Cenci Hamilton,https://sacred-texts.com/ane/iai/index.htm,Ancient Near East,iai
98,Adapa and the food of Life,R. W. Rogers,https://sacred-texts.com/ane/adapa.htm,Ancient Near East,
99,Descent of the Goddess Ishtar into the Lower World,M. Jastrow,https://sacred-texts.com/ane/ishtar.htm,Ancient Near East,
100,The Babylonian Story of the Deluge and the Epic of Gilgamish.,E. A. Wallis Budge,https://sacred-texts.com/ane/gilgdelu.htm,Ancient Near East,gi
101,Ptolemy’s Tetrabiblos,J.M. Ashmand,https://sacred-texts.com/astro/ptb/index.htm,Astrology,o/ptb
102,An Introduction to Astrology,William Lilly,https://sacred-texts.com/astro/aia/index.htm,Astrology,o/aia
103,The Sand Reckoner,Archimedes,https://sacred-texts.com/cla/archim/sand/index.htm,Astrology,archim/sand
104,Moon Lore,Timothy Harley,https://sacred-texts.com/astro/ml/index.htm,Astrology,o/ml
105,Solar Biology,Hiram A. Butler,https://sacred-texts.com/astro/sb/index.htm,Astrology,o/sb
106,The Hindu Book of Astrology,Bhakti Seva,https://sacred-texts.com/astro/hba/index.htm,Astrology,o/hba
107,Astrology and Religion Among the Greeks and Romans,Franz Cumont,https://sacred-texts.com/astro/argr/index.htm,Astrology,o/argr
108,Sun Lore of All Ages,William Tyler Olcott,https://sacred-texts.com/astro/slaa/index.htm,Astrology,o/slaa
109,"The Book of Talismans, Amulets and Zodiacal Gems",William Thomas Pavitt,https://sacred-texts.com/sym/bot/index.htm,Astrology,bot
110,Harmonies of the World,Johannes Kepler,https://sacred-texts.com/astro/how/index.htm,Astrology,o/how
111,From the Closed World to the Infinite Universe,Alexandre Koyre,https://sacred-texts.com/astro/cwiu/index.htm,Astrology,o/cwiu
112,A Journey in Southern Siberia,Jeremiah Curtin,https://sacred-texts.com/asia/jss/index.htm,Asia,/jss
113,The Eskimo of Siberia,Waldemar Bogoras,https://sacred-texts.com/nam/inu/eos/index.htm,Asia,inu/eos
114,Chukchee Mythology,Waldemar Bogoras,https://sacred-texts.com/asia/cm/index.htm,Asia,/cm
115,Koryak Texts,Waldemar Bogoras,https://sacred-texts.com/asia/kort/index.htm,Asia,/kort
116,"Tales of Yukaghir, Lamut, and Russianized Natives of Eastern Siberia",Waldemar Bogoras,https://sacred-texts.com/asia/tes/index.htm,Asia,/tes
117,Shamanism in Siberia,M. A. Czaplicka,https://sacred-texts.com/sha/sis/index.htm,Asia,sis
118,The Man in the Panther’s Skin,Shota Rustaveli,https://sacred-texts.com/asia/mps/index.htm,Asia,/mps
119,Georgian Folk Tales,Marjory Wardrop,https://sacred-texts.com/asia/geft/index.htm,Asia,/geft
120,Armenian Legends and Poems,Zabelle C. Boyajian,https://sacred-texts.com/asia/alp/index.htm,Asia,/alp
121,Selections from the Poetry of the Afghans,H. G. Raverty,https://sacred-texts.com/isl/spa/index.htm,Asia,spa
122,Folklore and Legends: Oriental,Charles John Tibbitts,https://sacred-texts.com/asia/flo/index.htm,Asia,/flo
123,The Laughable Stories of Bar-Hebraeus,E.A.W. Budge,https://sacred-texts.com/asia/lsbh/index.htm,Asia,/lsbh
124,Forty-four Turkish Fairy Tales,Ignácz Kúnos,https://sacred-texts.com/asia/ftft/index.htm,Asia,/ftft
125,"Folk-lore of the Holy Land; Moslem, Christian and Jewish",J. E. Hanauer,https://sacred-texts.com/asia/flhl/index.htm,Asia,/flhl
126,Devil Worship: The Sacred Books and Traditions of the Yezidiz,Isya Joseph,https://sacred-texts.com/asia/sby/index.htm,Asia,/sby
127,An Inquiry into the Religious Tenets of the Yezeedees,George Percy Badger,https://sacred-texts.com/asia/rty/index.htm,Asia,/rty
128,The Origins of the Druze People and Religion,Philip K. Hitti,https://sacred-texts.com/asia/odpr/index.htm,Asia,/odpr
129,Arabian Poetry,W. A. Clouston,https://sacred-texts.com/isl/arp/index.htm,Asia,arp
130,The 1001 Arabian Nights,Richard Burton,https://sacred-texts.com/neu/burt1k1/index.htm,Asia,burt1k1
131,The Arabian Nights’ Entertainments,Andrew Lang,https://sacred-texts.com/neu/lang1k1/index.htm,Asia,lang1k1
132,Philippine Folk Tales,Mabel Cook Cole,https://sacred-texts.com/asia/pft/index.htm,Asia,/pft
133,Philippine Folklore Stories,John Maurice Miller,https://sacred-texts.com/asia/pfs/index.htm,Asia,/pfs
134,The Religions of South Vietnam in Faith and Fact,"US Department of the Navy, Bureau of Naval Personnel,
Chaplains Division",https://sacred-texts.com/asia/rsv/index.htm,Asia,/rsv
135,Myths and Legends of the Andamans,A.R. Radcliffe-Brown,https://sacred-texts.com/asia/tai/index.htm,Asia,/tai
136,"Shaman, Saiva and Sufi",R.O. Winstedt,https://sacred-texts.com/sha/sss/index.htm,Asia,sss
137,Tibetan Folk Tales,A.L. Shelton,https://sacred-texts.com/asia/tft/index.htm,Asia,/tft
